match_id,match_date,event_name,team_1,team_2,player_id,player_name,adr,dpr,kast,kpr,multi_kill,rating_3_0,rating_3_0_ct_rating,rating_3_0_t_rating,round_swing,firepower_combined_score,entrying_combined_score,trading_combined_score,opening_combined_score,clutching_combined_score,sniping_combined_score,utility_combined_score
2394219,2026-05-22,CS Asia Championships 2026,Falcons,Legacy,19230,m0nesy,80.8,0.59,77.2,0.8,19.8,1.29,1.39,1.2,3.93,91.0,33.0,39.0,89.0,66.0,95.0,64.0
2394219,2026-05-22,CS Asia Championships 2026,Falcons,Legacy,24177,kyousuke,80.6,0.71,73.1,0.74,19.0,1.13,1.15,1.1,0.73,85.0,81.0,88.0,73.0,33.0,4.0,34.0
2394219,2026-05-22,CS Asia Championships 2026,Falcons,Legacy,3741,niko,73.6,0.65,71.8,0.67,17.0,1.07,1.02,1.11,0.46,59.0,47.0,73.0,43.0,43.0,0.0,76.0
2394219,2026-05-22,CS Asia Championships 2026,Falcons,Legacy,429,karrigan,59.6,0.71,66.2,0.52,11.2,0.84,0.89,0.78,-2.21,5.0,67.0,4.0,27.0,34.0,0.0,73.0
2394219,2026-05-22,CS Asia Championships 2026,Falcons,Legacy,22965,saadzin,69.0,0.53,75.6,0.68,15.2,1.08,1.1,1.07,1.28,44.0,23.0,32.0,46.0,45.0,92.0,64.0
2394219,2026-05-22,CS Asia Championships 2026,Falcons,Legacy,19686,n1ssim,70.2,0.6,74.7,0.65,14.9,1.06,1.04,1.08,0.31,39.0,24.0,17.0,20.0,50.0,0.0,41.0
2394219,2026-05-22,CS Asia Championships 2026,Falcons,Legacy,19045,latto,78.1,0.61,77.1,0.73,17.5,1.15,1.19,1.1,0.95,76.0,62.0,59.0,53.0,56.0,0.0,70.0
2394219,2026-05-22,CS Asia Championships 2026,Falcons,Legacy,15698,dumau,85.9,0.64,74.9,0.79,20.4,1.19,1.19,1.19,1.24,95.0,40.0,63.0,87.0,34.0,0.0,80.0
2394219,2026-05-22,CS Asia Championships 2026,Falcons,Legacy,12521,art,71.9,0.68,72.1,0.62,14.7,0.98,1.04,0.92,-0.67,38.0,80.0,21.0,78.0,25.0,2.0,79.0
2391757,2026-03-20,BLAST Open Rotterdam 2026,Falcons,Natus Vincere,12018,teses,66.5,0.62,73.5,0.59,13.8,1.02,1.11,0.93,0.38,22.0,54.0,13.0,26.0,91.0,1.0,54.0
